epoch,accuracy,auc,learning_rate,loss,pr_auc,precision,precision_at_recall_80,recall,val_accuracy,val_auc,val_loss,val_pr_auc,val_precision,val_precision_at_recall_80,val_recall
0,0.8756164908409119,0.9606249928474426,0.009999999776482582,0.2904123067855835,0.9175882339477539,0.7299573421478271,0.8179962038993835,0.8961967825889587,0.8974000215530396,0.969912052154541,0.22971701622009277,0.8450798392295837,0.44871795177459717,0.6159420013427734,0.9058823585510254
1,0.8777377009391785,0.9641960263252258,0.009999999776482582,0.2622561454772949,0.9258577823638916,0.7302559018135071,0.8257331252098083,0.907173752784729,0.9182000160217285,0.9701721668243408,0.1916845738887787,0.8448864221572876,0.5111731886863708,0.5829060077667236,0.8611764907836914
2,0.8808870315551758,0.965301513671875,0.009999999776482582,0.2566680610179901,0.9280079007148743,0.7357642650604248,0.8386512398719788,0.9098610877990723,0.9139999747276306,0.9715793132781982,0.18634836375713348,0.8448145389556885,0.49667996168136597,0.6198198199272156,0.8799999952316284
3,0.8796246647834778,0.9651025533676147,0.009999999776482582,0.25441959500312805,0.9274457097053528,0.7327519655227661,0.8309766054153442,0.9109086990356445,0.9118000268936157,0.9717249274253845,0.1727941632270813,0.8519150018692017,0.4894736707210541,0.6151078939437866,0.8752940893173218
4,0.8816027641296387,0.9658252000808716,0.009999999776482582,0.25096338987350464,0.9290469884872437,0.7368906140327454,0.8364550471305847,0.910817563533783,0.8447999954223633,0.9741924405097961,0.3139289915561676,0.8680611848831177,0.3488371968269348,0.6538461446762085,0.9529411792755127
5,0.880145251750946,0.9659959673881531,0.009999999776482582,0.24828389286994934,0.9290962219238281,0.73321133852005,0.8366666436195374,0.9125484228134155,0.8751999735832214,0.9709163308143616,0.23050113022327423,0.8511497974395752,0.39939332008361816,0.5916954874992371,0.929411768913269
6,0.8823055028915405,0.9665789008140564,0.009999999776482582,0.24557852745056152,0.9305892586708069,0.7378154397010803,0.8412926197052002,0.9122295379638672,0.8863999843597412,0.9735512137413025,0.20730024576187134,0.8638784289360046,0.4220283627510071,0.6758893132209778,0.910588264465332
7,0.8817068338394165,0.9661896824836731,0.009999999776482582,0.2468664050102234,0.9297281503677368,0.737177848815918,0.84132981300354,0.9106354117393494,0.857200026512146,0.9728511571884155,0.25836607813835144,0.8577331900596619,0.36851683259010315,0.6350092887878418,0.9529411792755127
8,0.8824356198310852,0.9666468501091003,0.009999999776482582,0.24515584111213684,0.9304264783859253,0.7377718687057495,0.8385778069496155,0.9130493998527527,0.9283999800682068,0.9724462628364563,0.17234045267105103,0.8625820875167847,0.5505279302597046,0.6539196968078613,0.8588235378265381
9,0.8836849331855774,0.9669178128242493,0.009999999776482582,0.2433389127254486,0.9312132596969604,0.7406010627746582,0.8433168530464172,0.9125028252601624,0.8592000007629395,0.9726513624191284,0.26699569821357727,0.8589555025100708,0.37071362137794495,0.6350092887878418,0.9411764740943909
10,0.8830862641334534,0.9668178558349609,0.009999999776482582,0.2448582798242569,0.9310651421546936,0.7388502359390259,0.8413523435592651,0.9137781858444214,0.8338000178337097,0.9697393774986267,0.3054228127002716,0.8471412062644958,0.3330592215061188,0.6052631735801697,0.9529411792755127
11,0.8820322155952454,0.966737687587738,0.009999999776482582,0.24376091361045837,0.931013822555542,0.7370356917381287,0.8404123187065125,0.9127761125564575,0.8442000150680542,0.9741736650466919,0.293303519487381,0.866926372051239,0.34871795773506165,0.6666666865348816,0.9599999785423279
12,0.8825657367706299,0.9670699834823608,0.009999999776482582,0.2414873093366623,0.931463897228241,0.7372921705245972,0.8424906730651855,0.9150079488754272,0.9049999713897705,0.9733640551567078,0.19230221211910248,0.8620702624320984,0.4688279330730438,0.6181818246841431,0.8847059011459351
13,0.881537675857544,0.9665848612785339,0.009999999776482582,0.2435481995344162,0.9306782484054565,0.7352123260498047,0.8361402153968811,0.914871335029602,0.8561999797821045,0.9719814658164978,0.2865407168865204,0.8574169278144836,0.36612021923065186,0.6200000047683716,0.9458823800086975
14,0.8813164234161377,0.9664955735206604,0.009999999776482582,0.24399839341640472,0.9299973845481873,0.7342922687530518,0.8361589908599854,0.9161010980606079,0.8907999992370605,0.9703801870346069,0.20221848785877228,0.8438894748687744,0.43240222334861755,0.5627062916755676,0.910588264465332
15,0.8822794556617737,0.9668968915939331,0.009999999776482582,0.24240680038928986,0.9311881065368652,0.7369928359985352,0.8440772294998169,0.9142336845397949,0.8907999992370605,0.972390353679657,0.223655566573143,0.8647782206535339,0.43240222334861755,0.6759443283081055,0.910588264465332
16,0.8822924494743347,0.967221200466156,0.009999999776482582,0.2430972307920456,0.9321331977844238,0.7373859882354736,0.8424621820449829,0.9132771492004395,0.9079999923706055,0.9731091856956482,0.17827090620994568,0.8634189963340759,0.47765007615089417,0.6551059484481812,0.8799999952316284
17,0.8869252800941467,0.9698160290718079,0.004999999888241291,0.2278618961572647,0.9372209310531616,0.7457941174507141,0.8598281145095825,0.9166932106018066,0.8787999749183655,0.975292980670929,0.22588063776493073,0.8699545860290527,0.4073694944381714,0.6539196968078613,0.9364705681800842
18,0.886860191822052,0.9698671102523804,0.004999999888241291,0.22672301530838013,0.937290608882904,0.7447311282157898,0.8573722839355469,0.9190161824226379,0.8935999870300293,0.9739263653755188,0.19805465638637543,0.8692217469215393,0.4389965832233429,0.6752475500106812,0.9058823585510254
19,0.8867170810699463,0.9698803424835205,0.004999999888241291,0.22641152143478394,0.9374537467956543,0.7448263168334961,0.8568722009658813,0.9180141091346741,0.9047999978065491,0.9756082892417908,0.18199262022972107,0.870411217212677,0.46886447072029114,0.6309962868690491,0.9035294055938721
