accuracy,loss,recall,val_accuracy,val_loss,val_recall,learning_rate
0.8820927739143372,0.33991459012031555,0.8973966836929321,0.8871849775314331,0.23797489702701569,0.932548999786377,0.0010000000474974513
0.8961437344551086,0.24606294929981232,0.9188725352287292,0.8847846388816833,0.21417252719402313,0.938039243221283,0.0010000000474974513
0.8965725898742676,0.23183970153331757,0.9225892424583435,0.8857847452163696,0.20202679932117462,0.9349019527435303,0.0010000000474974513
0.8967239856719971,0.22715701162815094,0.9226900935173035,0.8837845325469971,0.19978870451450348,0.9372549057006836,0.0010000000474974513
0.8977582454681396,0.22556696832180023,0.9254817962646484,0.8796505928039551,0.1944435089826584,0.9396078586578369,0.0010000000474974513
0.8971696496009827,0.22453802824020386,0.9226228594779968,0.8779837489128113,0.2025965005159378,0.938039243221283,0.0010000000474974513
0.8971107602119446,0.22382761538028717,0.9221687912940979,0.8782504200935364,0.2050100564956665,0.9427450895309448,0.0010000000474974513
0.8980861902236938,0.22187796235084534,0.9259358644485474,0.8813841938972473,0.19683673977851868,0.9317647218704224,0.0010000000474974513
0.8982711434364319,0.22089575231075287,0.9233459830284119,0.8863848447799683,0.19597139954566956,0.932548999786377,0.0010000000474974513
0.8980945944786072,0.219625324010849,0.9224546551704407,0.8856514096260071,0.20155534148216248,0.9333333373069763,0.0010000000474974513
0.8995829224586487,0.21632124483585358,0.9267935752868652,0.8845179080963135,0.19654428958892822,0.9341176748275757,0.0005000000237487257
0.8999024629592896,0.213903546333313,0.926978588104248,0.8807840943336487,0.19554178416728973,0.9388235211372375,0.0005000000237487257
0.8995493054389954,0.21402578055858612,0.928643524646759,0.8811841607093811,0.19707091152668,0.9396078586578369,0.0005000000237487257
0.8993642926216125,0.21294595301151276,0.9305607080459595,0.8805174231529236,0.19767746329307556,0.9372549057006836,0.0005000000237487257
0.9003481268882751,0.21158690750598907,0.9284921288490295,0.8775836825370789,0.20288553833961487,0.9396078586578369,0.0005000000237487257
