epoch,accuracy,auc,learning_rate,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0,0.8782973289489746,0.9619117379188538,0.005493934266269207,0.28480851650238037,0.7349114418029785,0.8979275822639465,0.8737999796867371,0.9720565676689148,0.2520175874233246,0.39679357409477234,0.9317647218704224
1,0.8835417628288269,0.9662157893180847,0.005493934266269207,0.2556602358818054,0.7425768375396729,0.9067183136940002,0.892799973487854,0.9731546640396118,0.2345540076494217,0.4374295473098755,0.9129411578178406
2,0.8836588859558105,0.9671967029571533,0.005493934266269207,0.25333458185195923,0.7425547242164612,0.9074015021324158,0.8920000195503235,0.9751061797142029,0.22209106385707855,0.4357541799545288,0.9176470637321472
3,0.88649582862854,0.9683974385261536,0.005493934266269207,0.2516232430934906,0.748731255531311,0.907173752784729,0.8916000127792358,0.9722861051559448,0.2403106689453125,0.4343434274196625,0.910588264465332
4,0.8872506022453308,0.9686533808708191,0.005493934266269207,0.2508576214313507,0.7500281929969788,0.9079936146736145,0.8614000082015991,0.9757038354873657,0.2568584382534027,0.375,0.9458823800086975
5,0.886795163154602,0.9687537550926208,0.005493934266269207,0.25029489398002625,0.7497926950454712,0.9061717391014099,0.8686000108718872,0.9751480221748352,0.2539149522781372,0.38759690523147583,0.9411764740943909
6,0.8879403471946716,0.9693257212638855,0.005493934266269207,0.2490931749343872,0.7514699101448059,0.9081302881240845,0.8863999843597412,0.9749104380607605,0.23052313923835754,0.42270269989967346,0.9200000166893005
7,0.888812243938446,0.9697007536888123,0.005493934266269207,0.24714164435863495,0.7532575726509094,0.9084035754203796,0.8978000283241272,0.9726414680480957,0.20441703498363495,0.4495305120944977,0.9011764526367188
8,0.8883177638053894,0.9696745872497559,0.005493934266269207,0.2461099922657013,0.7520259022712708,0.9087679386138916,0.9035999774932861,0.9724559783935547,0.20733700692653656,0.4647713303565979,0.8847059011459351
9,0.8884088397026062,0.9699439406394958,0.005493934266269207,0.24395982921123505,0.7528344392776489,0.907310426235199,0.8741999864578247,0.9768926501274109,0.25578320026397705,0.3994082808494568,0.9529411792755127
