,precision,recall,f1-score,support
0,0.9930701645835911,0.8771929824561403,0.9315418323224702,18297.0
1,0.41408083441981747,0.9341176470588235,0.573803071364047,1700.0
accuracy,0.8820323048457268,0.8820323048457268,0.8820323048457268,0.8820323048457268
macro avg,0.7035754995017043,0.905655314757482,0.7526724518432586,19997.0
weighted avg,0.9438486882982277,0.8820323048457268,0.9011294757875239,19997.0
