,precision,recall,f1-score,support
0,0.9203998797354179,0.8922976025650368,0.9061309061309061,13723.0
1,0.895481224807298,0.9228246611281155,0.9089473495316369,13722.0
accuracy,0.9075605756968482,0.9075605756968482,0.9075605756968482,0.9075605756968482
macro avg,0.907940552271358,0.9075611318465762,0.9075391278312714,27445.0
weighted avg,0.9079410062457599,0.9075605756968482,0.9075390765205883,27445.0
