,precision,recall,f1-score,support
0,0.9315663024102921,0.875901770749836,0.9028768872530609,13723.0
1,0.8828909365974419,0.9356507797697129,0.9085055193886216,13722.0
accuracy,0.9057751867371105,0.9057751867371105,0.9057751867371105,0.9057751867371105
macro avg,0.907228619503867,0.9057762752597744,0.9056912033208413,27445.0
weighted avg,0.9072295062840786,0.9057751867371105,0.9056911007769874,27445.0
