epoch,accuracy,learning_rate,loss,recall,val_accuracy,val_loss,val_recall,modelo,balanced_accuracy,precision,f1,roc_auc,average_precision
,0.9335900385057758,,,0.8247058823529412,,,,Híbrido CNN-LSTM,0.8842062504621458,0.5764802631578947,0.6786060019361084,0.9720074168378615,0.8620750629174032
,0.9046356953543031,,,0.8905882352941177,,,,CNN,0.8982645499583667,0.4680061823802164,0.6135764944275582,0.9736646316175265,0.8655824903111266
,0.8840826123918588,,,0.9252941176470588,,,,MLP,0.9027738555661649,0.41790648246546225,0.5757686676427526,0.9742135161984125,0.8643841408538849
0.0,0.8796290159225464,0.0010000000474974,0.3478208780288696,0.896690309047699,0.884851336479187,0.2318904846906662,0.9341176748275756,,,,,,
1.0,0.8946385979652405,0.0010000000474974,0.2471175342798233,0.9218156337738036,0.8763835430145264,0.2092223167419433,0.946666657924652,,,,,,
2.0,0.8958326578140259,0.0010000000474974,0.2312167584896087,0.92337965965271,0.8780503869056702,0.2061368972063064,0.946666657924652,,,,,,
3.0,0.8955299258232117,0.0010000000474974,0.2273111492395401,0.9250782132148744,0.8767169117927551,0.2085781246423721,0.9411764740943908,,,,,,
4.0,0.8971275687217712,0.0010000000474974,0.2248628139495849,0.9268271923065186,0.8744499087333679,0.2055074125528335,0.9505882263183594,,,,,,
5.0,0.8969594240188599,0.0010000000474974,0.2240671664476394,0.9255995154380798,0.8864515423774719,0.195455253124237,0.930980384349823,,,,,,
6.0,0.8969089388847351,0.0010000000474974,0.2232128977775573,0.9252631664276124,0.8789838552474976,0.206590473651886,0.9435294270515442,,,,,,
7.0,0.897766649723053,0.0010000000474974,0.2225823551416397,0.9214119911193848,0.8899853229522705,0.2064030617475509,0.932548999786377,,,,,,
8.0,0.8972368836402893,0.0010000000474974,0.2218789905309677,0.9270122051239014,0.8746499419212341,0.2049226611852646,0.9458823800086976,,,,,,
9.0,0.8978254795074463,0.0010000000474974,0.2204721868038177,0.9243887066841124,0.8796505928039551,0.1991499811410904,0.9396078586578368,,,,,,
10.0,0.8971527814865112,0.0010000000474974,0.2208065539598465,0.923648715019226,0.8824509978294373,0.20387963950634,0.9403921365737916,,,,,,
11.0,0.8986495733261108,0.0005000000237487,0.2159208059310913,0.9284080862998962,0.8824509978294373,0.2005688697099685,0.9388235211372375,,,,,,
12.0,0.8993138670921326,0.0005000000237487,0.2138138115406036,0.9324442744255066,0.8721829652786255,0.2012548148632049,0.9474509954452516,,,,,,
13.0,0.8990615606307983,0.0005000000237487,0.2125915884971618,0.930897057056427,0.8815175294876099,0.1967084407806396,0.9435294270515442,,,,,,
14.0,0.8998688459396362,0.0005000000237487,0.2124101966619491,0.929501175880432,0.8787171840667725,0.1971577703952789,0.9419608116149902,,,,,,
15.0,0.8999192714691162,0.0005000000237487,0.2114273309707641,0.9327637553215028,0.8735831379890442,0.1974454373121261,0.9443137049674988,,,,,,
