,precision,recall,f1-score,support
0,0.9889034721393628,0.9059408646226157,0.9456059784933969,18297.0
1,0.4680061823802164,0.8905882352941177,0.6135764944275582,1700.0
accuracy,0.9046356953543031,0.9046356953543031,0.9046356953543031,0.9046356953543031
macro avg,0.7284548272597896,0.8982645499583667,0.7795912364604776,19997.0
weighted avg,0.9446205600730253,0.9046356953543031,0.9173792383367771,19997.0
