,precision,recall,f1-score,support
0,0.9830344434955878,0.9437066185713505,0.9629691595560761,18297.0
1,0.5764802631578947,0.8247058823529412,0.6786060019361084,1700.0
accuracy,0.9335900385057758,0.9335900385057758,0.9335900385057758,0.9335900385057758
macro avg,0.7797573533267412,0.8842062504621458,0.8207875807460923,19997.0
weighted avg,0.948472153823433,0.9335900385057758,0.938794664984193,19997.0
