,precision,recall,f1-score,support
0,0.9921764307275304,0.8802535934852708,0.9328699681436432,18297.0
1,0.41790648246546225,0.9252941176470588,0.5757686676427526,1700.0
accuracy,0.8840826123918588,0.8840826123918588,0.8840826123918588,0.8840826123918588
macro avg,0.7050414565964963,0.9027738555661649,0.754319317893198,19997.0
weighted avg,0.9433561620849583,0.8840826123918588,0.9025118038764274,19997.0
