epoch,accuracy,learning_rate,loss,recall,val_accuracy,val_loss,val_recall
0,0.8817816376686096,0.0010000000474974513,0.3855937421321869,0.897363007068634,0.8953860402107239,0.23480838537216187,0.9145098328590393
1,0.8988850116729736,0.0010000000474974513,0.2563435733318329,0.9324442744255066,0.9159221053123474,0.1762230396270752,0.8768627643585205
2,0.9011721611022949,0.0010000000474974513,0.23294100165367126,0.9318724274635315,0.8935191631317139,0.19779610633850098,0.9207842946052551
3,0.9019121527671814,0.0010000000474974513,0.2235359102487564,0.9297029972076416,0.9265235662460327,0.1674986034631729,0.8580392003059387
4,0.9032995700836182,0.0010000000474974513,0.2200189083814621,0.9336214661598206,0.9069209098815918,0.17276054620742798,0.8964706063270569
5,0.901954174041748,0.0010000000474974513,0.21787923574447632,0.9335710406303406,0.9219896197319031,0.17139069736003876,0.869019627571106
6,0.9025764465332031,0.0010000000474974513,0.21642445027828217,0.932612419128418,0.9217228889465332,0.16859911382198334,0.879215657711029
7,0.9038882255554199,0.0010000000474974513,0.21279418468475342,0.9314183592796326,0.9343912601470947,0.1530052274465561,0.8313725590705872
8,0.9013739824295044,0.0010000000474974513,0.2144583910703659,0.9333524107933044,0.903187096118927,0.19014905393123627,0.9035294055938721
9,0.903080940246582,0.0010000000474974513,0.2118854820728302,0.9342437386512756,0.9010534882545471,0.18679286539554596,0.9152941107749939
10,0.9030053019523621,0.0010000000474974513,0.21218176186084747,0.9325788021087646,0.9252567291259766,0.17875315248966217,0.8533333539962769
11,0.9043254256248474,0.0010000000474974513,0.2110871821641922,0.9336719512939453,0.9213895201683044,0.16364489495754242,0.8760784268379211
12,0.9036275148391724,0.0010000000474974513,0.21017462015151978,0.9356900453567505,0.8923189640045166,0.18688900768756866,0.9184314012527466
13,0.9071676135063171,0.0005000000237487257,0.2021401971578598,0.9363627433776855,0.9095879197120667,0.17892302572727203,0.8996078372001648
14,0.908613920211792,0.0005000000237487257,0.1995258629322052,0.9356227517127991,0.9222562909126282,0.17469659447669983,0.8839215636253357
15,0.9073357582092285,0.0005000000237487257,0.19871774315834045,0.9330664873123169,0.9228563904762268,0.17448851466178894,0.8784313797950745
16,0.9092193245887756,0.0005000000237487257,0.19638749957084656,0.9359759092330933,0.9101880192756653,0.17468459904193878,0.8972548842430115
17,0.9088157415390015,0.0005000000237487257,0.19674505293369293,0.9355050325393677,0.920456051826477,0.1747535765171051,0.8823529481887817
